,date,smp,holiday,is_holiday,year,month,day,dayofweek,hour,IS_HOLIDAY,smp_s_1,smp_s_2,smp_s_3
0,2021-01-01 00:00:00,75.25,holiday,1,2021,1,1,4,0,1,75.25,75.25,75.25
1,2021-01-01 01:00:00,75.25,holiday,1,2021,1,1,4,1,1,75.25,75.25,75.25
2,2021-01-01 02:00:00,73.91,holiday,1,2021,1,1,4,2,1,75.25,75.25,75.25
3,2021-01-01 03:00:00,73.91,holiday,1,2021,1,1,4,3,1,73.91,75.25,75.25
4,2021-01-01 04:00:00,75.25,holiday,1,2021,1,1,4,4,1,73.91,73.91,75.25
5,2021-01-01 05:00:00,75.25,holiday,1,2021,1,1,4,5,1,75.25,73.91,73.91
6,2021-01-01 06:00:00,75.25,holiday,1,2021,1,1,4,6,1,75.25,75.25,73.91
7,2021-01-01 07:00:00,74.42,holiday,1,2021,1,1,4,7,1,75.25,75.25,75.25
8,2021-01-01 08:00:00,75.12,holiday,1,2021,1,1,4,8,1,74.42,75.25,75.25
9,2021-01-01 09:00:00,75.12,holiday,1,2021,1,1,4,9,1,75.12,74.42,75.25
10,2021-01-01 10:00:00,75.12,holiday,1,2021,1,1,4,10,1,75.12,75.12,74.42
11,2021-01-01 11:00:00,70.78,holiday,1,2021,1,1,4,11,1,75.12,75.12,75.12
12,2021-01-01 12:00:00,63.31,holiday,1,2021,1,1,4,12,1,70.78,75.12,75.12
13,2021-01-01 13:00:00,64.52,holiday,1,2021,1,1,4,13,1,63.31,70.78,75.12
14,2021-01-01 14:00:00,74.61,holiday,1,2021,1,1,4,14,1,64.52,63.31,70.78
15,2021-01-01 15:00:00,73.72,holiday,1,2021,1,1,4,15,1,74.61,64.52,63.31
16,2021-01-01 16:00:00,74.61,holiday,1,2021,1,1,4,16,1,73.72,74.61,64.52
17,2021-01-01 17:00:00,75.18,holiday,1,2021,1,1,4,17,1,74.61,73.72,74.61
18,2021-01-01 18:00:00,75.18,holiday,1,2021,1,1,4,18,1,75.18,74.61,73.72
19,2021-01-01 19:00:00,75.18,holiday,1,2021,1,1,4,19,1,75.18,75.18,74.61
20,2021-01-01 20:00:00,75.18,holiday,1,2021,1,1,4,20,1,75.18,75.18,75.18
21,2021-01-01 21:00:00,75.18,holiday,1,2021,1,1,4,21,1,75.18,75.18,75.18
22,2021-01-01 22:00:00,75.18,holiday,1,2021,1,1,4,22,1,75.18,75.18,75.18
23,2021-01-01 23:00:00,75.18,holiday,1,2021,1,1,4,23,1,75.18,75.18,75.18
24,2021-01-02 00:00:00,74.89,non-holiday,0,2021,1,2,5,0,1,75.18,75.18,75.18
25,2021-01-02 01:00:00,95.84,non-holiday,0,2021,1,2,5,1,1,74.89,75.18,75.18
26,2021-01-02 02:00:00,74.89,non-holiday,0,2021,1,2,5,2,1,95.84,74.89,75.18
27,2021-01-02 03:00:00,73.56,non-holiday,0,2021,1,2,5,3,1,74.89,95.84,74.89
28,2021-01-02 04:00:00,73.69,non-holiday,0,2021,1,2,5,4,1,73.56,74.89,95.84
29,2021-01-02 05:00:00,74.89,non-holiday,0,2021,1,2,5,5,1,73.69,73.56,74.89
30,2021-01-02 06:00:00,74.89,non-holiday,0,2021,1,2,5,6,1,74.89,73.69,73.56
31,2021-01-02 07:00:00,94.26,non-holiday,0,2021,1,2,5,7,1,74.89,74.89,73.69
32,2021-01-02 08:00:00,74.89,non-holiday,0,2021,1,2,5,8,1,94.26,74.89,74.89
33,2021-01-02 09:00:00,73.48,non-holiday,0,2021,1,2,5,9,1,74.89,94.26,74.89
34,2021-01-02 10:00:00,74.29,non-holiday,0,2021,1,2,5,10,1,73.48,74.89,94.26
35,2021-01-02 11:00:00,72.43,non-holiday,0,2021,1,2,5,11,1,74.29,73.48,74.89
36,2021-01-02 12:00:00,74.21,non-holiday,0,2021,1,2,5,12,1,72.43,74.29,73.48
37,2021-01-02 13:00:00,72.43,non-holiday,0,2021,1,2,5,13,1,74.21,72.43,74.29
38,2021-01-02 14:00:00,74.21,non-holiday,0,2021,1,2,5,14,1,72.43,74.21,72.43
39,2021-01-02 15:00:00,75.37,non-holiday,0,2021,1,2,5,15,1,74.21,72.43,74.21
40,2021-01-02 16:00:00,96.38,non-holiday,0,2021,1,2,5,16,1,75.37,74.21,72.43
